,idstring,sample_date,sample_strain,virus_label,fluorophore_label,annotation_space,soma_atlas_id,axonal_endpoint_dict
875,AA0876,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1021,"{'count_1021': 96, 'count_672': 30, 'count_1085': 6, 'count_767': 16, 'count_484682512': 2, 'count_956': 1, 'count_940': 3, 'count_844': 40, 'count_526157196': 1, 'count_363': 1, 'count_648': 1, 'count_882': 2, 'count_945': 2, 'count_625': 1, 'count_857': 17, 'count_977': 3, 'count_988': 1, 'count_289': 1, 'count_862': 3, 'count_1058': 1, 'count_1101': 1, 'count_783': 1}"
876,AA0877,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1037,"{'count_543': 7, 'count_20': 64, 'count_52': 2, 'count_526': 2, 'count_664': 1, 'count_843': 2, 'count_502': 1, 'count_442': 2, 'count_434': 9, 'count_610': 9, 'count_1015': 10, 'count_430': 8, 'count_274': 2, 'count_542': 2, 'count_211': 1, 'count_687': 12, 'count_772': 1}"
877,AA0878,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1037,"{'count_502': 24, 'count_52': 34, 'count_20': 21, 'count_139': 17, 'count_727': 8, 'count_664': 1, 'count_743': 4, 'count_526': 2, 'count_543': 11, 'count_None': 2, 'count_1037': 1}"
878,AA0879,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1037,"{'count_443': 1, 'count_1037': 5, 'count_502': 2, 'count_526': 11, 'count_52': 6, 'count_664': 46, 'count_543': 45, 'count_727': 5, 'count_20': 3, 'count_743': 1, 'count_139': 1}"
879,AA0880,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_767': 19, 'count_962': 16, 'count_943': 10, 'count_1021': 2, 'count_648': 6, 'count_844': 1, 'count_940': 1, 'count_803': 1, 'count_1022': 4, 'count_672': 2}"
880,AA0881,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1037,"{'count_1037': 28, 'count_1084': 7, 'count_743': 4, 'count_443': 2, 'count_502': 1}"
881,AA0882,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_574': 4, 'count_697': 1, 'count_924': 1, 'count_146': 1}"
882,AA0883,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1015,"{'count_1015': 6, 'count_962': 17, 'count_767': 10, 'count_211': 6, 'count_672': 217, 'count_1022': 4, 'count_956': 3, 'count_656': 3, 'count_940': 1, 'count_1108': 2, 'count_844': 3, 'count_648': 1, 'count_943': 2, 'count_1030': 6, 'count_113': 7, 'count_320': 1, 'count_1021': 1, 'count_448': 2, 'count_412': 2, 'count_68': 3, 'count_440': 2, 'count_630': 3, 'count_56': 4, 'count_484682516': 2, 'count_484682512': 1, 'count_579': 1, 'count_477': 1, 'count_583': 1}"
883,AA0884,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,962,"{'count_767': 39, 'count_962': 23, 'count_943': 19, 'count_484682512': 2, 'count_1021': 5, 'count_940': 1, 'count_672': 14, 'count_648': 2}"
884,AA0885,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_502': 9, 'count_436': 2, 'count_262': 4, 'count_255': 1, 'count_549': 2, 'count_155': 75, 'count_64': 19, 'count_599': 1}"
885,AA0886,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_502': 1, 'count_443': 1, 'count_1089': 1, 'count_139': 15, 'count_727': 8, 'count_664': 1, 'count_52': 2}"
886,AA0887,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_672': 88, 'count_1102': 3, 'count_2': 1, 'count_862': 3, 'count_484682512': 3, 'count_767': 19, 'count_962': 5, 'count_648': 29, 'count_943': 6, 'count_844': 34, 'count_1021': 11, 'count_320': 2, 'count_625': 2, 'count_484682516': 3, 'count_940': 1, 'count_656': 1, 'count_1038': 2}"
